时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-6-5 18:15:50:280	WTSDCL(FE:D5:86:66:1D:7C)	-0.212	-0.976	0.128	1.709	-0.671	5.005	-83.83	12.54	96.20	84.283	36.508	-21.417	-0.44083	0.50348	0.44171	-0.59744	7.1	10092.1.12	100
2025-6-5 18:15:50:321	WT901BLE67(C1:AA:08:9C:D1:14)	-0.445	0.869	-0.048	2.197	0.244	-2.014	93.90	28.20	-7.14	2.750	-47.000	-90.858	0.65613	0.71686	0.11130	-0.20773	-3.3	10080.1.21	100
2025-6-5 18:15:50:368	WTSDCL(FE:D5:86:66:1D:7C)	-0.217	-0.970	0.123	0.793	0.610	3.540	-83.59	13.00	96.34	84.283	36.508	-21.417	-0.44083	0.50348	0.44171	-0.59744	7.1	10092.1.12	100
2025-6-5 18:15:50:390	WT901BLE67(E9:8A:1A:DD:D5:28)	0.451	0.882	-0.006	0.854	0.366	1.465	90.73	-27.55	-140.12	-49.750	0.000	60.525	0.39151	0.07776	-0.70453	-0.58670	-2.4	10080.1.21	100
2025-6-5 18:15:50:442	WT901BLE67(C1:AA:08:9C:D1:14)	-0.486	0.895	-0.047	1.831	0.000	-1.953	94.06	28.37	-7.10	2.750	-47.000	-90.858	0.65613	0.71686	0.11130	-0.20773	-3.3	10080.1.21	100
2025-6-5 18:15:50:464	WTSDCL(FE:D5:86:66:1D:7C)	-0.218	-0.973	0.136	0.671	-0.671	3.479	-83.42	13.34	96.41	84.283	36.508	-21.417	-0.43637	0.50516	0.43448	-0.60455	7.1	10092.1.12	100
2025-6-5 18:15:50:477	WT901BLE67(E9:8A:1A:DD:D5:28)	0.459	0.907	-0.019	0.061	-0.427	2.197	90.75	-27.70	-140.14	-46.750	-2.875	61.808	0.39151	0.07776	-0.70453	-0.58670	-2.4	10080.1.21	100
2025-6-5 18:15:50:529	WT901BLE67(C1:AA:08:9C:D1:14)	-0.470	0.896	-0.075	0.793	-0.366	-1.892	94.19	28.59	-7.07	2.750	-47.000	-90.858	0.65125	0.71936	0.11566	-0.21191	-3.3	10080.1.21	100
2025-6-5 18:15:50:581	WTSDCL(FE:D5:86:66:1D:7C)	-0.210	-0.969	0.128	0.305	2.380	1.587	-83.32	13.49	96.33	84.283	36.508	-21.417	-0.43637	0.50516	0.43448	-0.60455	7.1	10092.1.12	100
2025-6-5 18:15:50:600	WT901BLE67(E9:8A:1A:DD:D5:28)	0.486	0.872	-0.008	0.488	-0.305	1.038	90.76	-27.82	-140.16	-46.750	-2.875	61.808	0.39151	0.07776	-0.70453	-0.58670	-2.4	10080.1.21	100
